tailid;parentid;orgstructid;name_nb;name_nn;name_en;orgid;kommunenummer
41802;34846;39;"Bufetat Kongsberg fosterhjemstjeneste (Øvre Buskerud)";"Bufetat Kongsberg fosterhjemsteneste (Øvre Buskerud)";"Kongsberg foster care services (Buskerud)";;
39902;23699;73;"Deichmanske bibliotek, Smestad filial";"Deichmanske bibliotek, Smestad filial";"Oslo Public Library,  Smestad branch";;
39922;;58;"Servicesenter for utenlandske arbeidstakere, Oslo";"Servicesenter for utanlandske arbeidstakarar, Oslo";"Service Centre for Foreign Workers, Oslo";;
41803;34845;39;"Fosterhjemstjenesten Fonna (Rogaland/Hordaland)";"Fosterheimstenesta Fonna  (Rogaland/Hordaland)";"Fonna foster care services (Rogaland/Hordaland)";;
41283;26094;37;"NAV Bærum";"NAV Bærum";"NAV Bærum";;
39982;26216;37;"Fiskerikontoret Hammerfest";"Fiskerikontoret Hammerfest";"Directorate of Fisheries, Hammerfest local office";;
40002;26216;37;"Fiskerikontoret Havøysund ";"Fiskerikontoret Havøysund ";"Directorate of Fisheries, Havøysund local office";;
40004;26216;37;"Fiskerikontoret Honningsvåg";"Fiskerikontoret Honningsvåg";"Directorate of Fisheries, Honningsvåg local office";;
40005;26216;37;"Fiskerikontoret Kjøllefjord ";"Fiskerikontoret Kjøllefjord ";"Directorate of Fisheries, Kjøllefjord local office";;
40006;26222;37;"Fiskerikontoret Finnsnes ";"Fiskerikontoret Finnsnes ";"Directorate of Fisheries,  Finnsnes local office";;
40007;26222;37;"Fiskerikontoret Skjervøy ";"Fiskerikontoret Skjervøy ";"Directorate of Fisheries, Skjervøy local office";;
36701;32243;39;"Nordfjord sjukehus";"Nordfjord sjukehus";"Nordfjord Hospital";;
34403;;81;"Standardiseringen i Norge";"Standardiseringen i Norge";"Standardization Organizations in Norway ";985942897;
34422;26157;39;"Rådgivningskontorene for kriminalitetsofre, Rådgivningskontoret i Fredrikstad";"Rådgivningskontorene for kriminalitetsofre, Rådgivningskontoret i Fredrikstad";"Norwegian Service for Crime Victims (RKK), Fredrikstad";;
34423;32821;39;"Rådgivningskontorene for kriminalitetsofre, Rådgivningskontoret i Drammen";"Rådgivningskontorene for kriminalitetsofre, Rådgivningskontoret i Drammen";"Norwegian Service for Crime Victims (RKK), Drammen";;
34424;25896;39;"Rådgivningskontorene for kriminalitetsofre, Rådgivningskontoret i  Kristiansand";"Rådgivningskontorene for kriminalitetsofre, Rådgivningskontoret i  Kristiansand";"Norwegian Service for Crime Victims (RKK), Kristiansand";;
34425;26051;39;"Rådgivningskontorene for kriminalitetsofre, Rådgivningskontoret i Haugesund";"Rådgivningskontorene for kriminalitetsofre, Rådgivningskontoret i Haugesund";"Norwegian Service for Crime Victims (RKK), Haugesund";;
34426;25277;39;"Rådgivningskontorene for kriminalitetsofre, Rådgivningskontoret i Trondheim";"Rådgivningskontorene for kriminalitetsofre, Rådgivningskontoret i Trondheim";"Norwegian Service for Crime Victims (RKK), Trondheim";;
34501;;82;"Støttesenter mot seksuelle overgrep -  Agder, Arendal";"Støttesenter mot seksuelle overgrep -  Agder, Arendal";"Support centre against sexual abuse - Agder, Arendal";;
34503;;82;"Senteret mot incest og seksuelle overgrep i Hordaland";"Senteret mot incest og seksuelle overgrep i Hordaland";"Senteret mot incest og seksuelle overgrep i Hordaland";979338686;
34506;;82;"Støttesenter mot incest og seksuelle overgrep - Hamar";"Støttesenter mot incest og seksuelle overgrep - Hamar";"Support centre against incest - Hamar";984213271;
34507;;82;"Eva`s støttesenter for seksuelt misbrukte kvinner og menn";"Eva`s støttesenter for seksuelt misbrukte kvinner og menn";"Eva's support centre for sexually abused men and women";976611683;
34508;;82;"Senter mot Incest - Møre og Romsdal";"Senter mot Incest - Møre og Romsdal";"No Abuse Centre - Møre og Romsdal";984856407;
34509;;82;"Senter mot Incest, Nord-Trøndelag";"Senter mot Incest, Nord-Trøndelag";"Support centre against incest - Nord-Trøndelag";971386967;
34510;;82;"Senter mot incest og seksuelle overgrep, Sør-Trøndelag";"Senter mot incest og seksuelle overgrep, Sør-Trøndelag";"Support centre against incest - Sør-Trøndelag";976852222;
