OldMunicipality,NewMunicipality,Coords
Hetland,Sandnes,"(-33904, 6560209)"
Hidra,Flekkefjord,"(12084, 6492155)"
Hillesøy,Tromsø,"(653403, 7731972)"
Hisøy,Arendal,"(136520, 6496840)"
Hitra,Hitra,"(201432, 7066758)"
Hjartdal,Hjartdal,"(158896, 6623837)"
Hjelme,Øygarden,"(-52439, 6751188)"
Hjelmeland,Hjelmeland,"(-2331, 6599743)"
Hjørundfjord,Ørsta,"(39544, 6928006)"
Hobøl,Hobøl,"(271626, 6616339)"
Hof,Hof,"(222335, 6609153)"
Hol,Hol,"(133835, 6738611)"
Hole,Hole,"(237437, 6669735)"
Holla,Skien,"(192396, 6575530)"
Holmestrand,Holmestrand,"(234820, 6603941)"
Holmsbu,Asker,"(244255, 6642039)"
Holt,Tvedestrand,"(147583, 6514381)"
Holum,Mandal,"(54631, 6456590)"
Horg,Melhus,"(263260, 7026329)"
Hornindal,Hornindal,"(56431, 6899793)"
Hornnes,Evje og Hornnes,"(80465, 6513874)"
Horten,Horten,"(243854, 6595010)"
Hosanger,Osterøy,"(-19949, 6747381)"
Hovin,Notodden,"(175886, 6616416)"
Hurdal,Hurdal,"(283605, 6706340)"
Hurum,Hurum,"(243826, 6617201)"
Hvaler,Hvaler,"(272228, 6549922)"
Hvitsten,Vestby,"(260108, 6614803)"
Hyllestad,Hyllestad,"(-20819, 6820592)"
Håland,Stavanger,"(-32014, 6573603)"
Hålandsdal,Fusa,"(-11195, 6714026)"
Hægebostad,Hægebostad,"(45573, 6496877)"
Hægeland,Vennesla,"(88186, 6480151)"
Høland,Aurskog-Høland,"(307783, 6643375)"
Høle,Sandnes,"(-33904, 6560209)"
Hølen,Vestby,"(260108, 6614803)"
Hølonda,Melhus,"(263260, 7026329)"
Hønefoss,Ringerike,"(236852, 6678708)"
Høvåg,Lillesand,"(111733, 6475634)"
Høyland,Sandnes,"(-33904, 6560209)"
Høylandet,Høylandet,"(370958, 7169698)"
Ibestad,Ibestad,"(587910, 7631243)"
Idd,Halden,"(293232, 6559298)"
Inderøy,Inderøy,"(317737, 7088485)"
Indre Holmedal,Gaular,"(8402, 6833820)"
Innvik,Stryn,"(65740, 6891168)"
